name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,31.85,32.46,33.4,,,18.000000000000004,32.56,32.18000000000001,40.55,43.62,77.43,66.52,69.81,30.7,50.61999999999999,62.51000000000001,58.60000000000001,65.39,0.0,0.0,65.85,71.05000000000003,0.0,41.66,,,,,,
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,17.24,0.0,0.0,15.0,0.0,0.0,,,0.0,0.0,39.97,19.45,0.0,27.82,36.06,0.0,0.0,7.98,0.0,0.0,,,0.0,0.0,0.0,15.62,
Argentina,134.47000000000003,152.90000000000003,144.98,146.24,138.93,134.89999999999998,119.23999999999998,126.86000000000004,134.77,122.05,119.97,118.03,111.39999999999998,116.92999999999998,117.19,131.39,143.55999999999997,139.42,146.29,131.05999999999997,128.18,128.21999999999997,118.35000000000004,118.11,107.32,111.24,105.86999999999998,119.81999999999998,103.42,111.35,112.13,
Armenia,,,,,,41.12,45.87000000000001,40.86000000000001,51.05,66.73,51.78999999999999,37.05,32.23,27.42,24.68,34.300000000000004,29.78,38.070000000000014,33.43000000000001,,,43.67,39.02,35.15,33.7,40.41000000000001,32.980000000000004,36.57000000000001,37.48,37.00999999999999,45.28,40.56000000000001
Aruba,,,,,,,,,,,308.51,,,,115.47,305.33,27.28,126.46000000000002,12.93,176.71999999999997,99.57999999999998,96.31,92.19,41.44000000000001,42.23,58.65,93.42,,,,,
Australia,163.41,175.79000000000005,188.82000000000005,179.32,168.11,172.34999999999997,180.15000000000003,170.64000000000004,154.94999999999996,167.75,155.19,175.33999999999997,186.93000000000006,176.41000000000003,167.14999999999995,157.82000000000005,158.79000000000005,144.68,133.84,133.76000000000002,,127.89,130.25,130.48999999999998,130.12,132.64,133.21999999999997,139.57,138.78,149.07,154.18000000000004,
Austria,384.81,401.8,405.88,357.64,359.32,353.78,355.47000000000014,341.74000000000007,347.95999999999987,343.61999999999995,348.08999999999986,342.65,297.5000000000001,289.38,280.3,289.77,261.91,276.92,257.06,254.04,235.25,218.89999999999995,217.31,216.45,213.22,207.55000000000004,211.49,206.63,212.12,209.82,194.62,183.23
Azerbaijan,,,,,,24.61,32.230000000000004,34.78000000000001,31.52,12.04,14.28,17.830000000000005,18.59,10.669999999999998,8.58,14.410000000000002,60.05,19.42,27.07,18.33,,,11.830000000000002,,,,,,,,,
Bahamas,4.76,,13.59,,,,,,37.51,10.6,7.16,9.82,7.15,11.09,22.96,40.66,2.68,9.97,2.49,5.93,13.32,5.6400000000000015,13.420000000000002,12.490000000000002,15.98,58.32,12.989999999999998,11.84,13.91,,,
Bahrain,20.12,,25.680000000000003,24.8,,,,,,,,,0.0,0.0,22.46,32.73,30.659999999999997,27.68,32.39,54.21000000000001,40.22,27.18,32.09,27.89,24.59,11.89,14.96,8.68,2.49,6.5200000000000005,,
Barbados,61.72,36.73,29.46,57.39,73.58,121.23,76.92999999999998,63.53000000000001,90.93,67.08,72.28999999999998,,,,,37.13,8.65,0.0,0.0,7.79,2.58,45.38,0.0,2.31,28.8,7.62,0.0,0.0,0.0,,,
Belarus,,,,,,274.37,297.6400000000001,314.24000000000007,365.11,403.58,404.00999999999993,455.70999999999987,446.5,455.64,450.36,447.3,419.65000000000015,411.0,444.86,,,,355.8900000000001,352.16,375.54,331.98,299.36,,273.32,252.91,,
Belgium,332.04,314.69,327.76,283.7999999999999,284.8499999999999,277.11,264.02,265.88,300.47,300.4000000000001,285.9000000000001,267.54,284.7399999999999,264.73999999999995,230.7,267.8,261.22,247.86,248.73,231.06000000000003,231.75000000000003,214.9,208.57,221.54,218.35,220.18,226.71,217.13,201.55000000000004,201.85,196.66,
Belize,,19.37,31.41,,5.16,29.7,23.93,,6.49,164.73000000000005,143.96999999999997,61.290000000000006,5.77,81.77999999999999,83.71999999999998,160.80000000000004,151.7,69.62,59.00000000000001,117.38,46.1,37.92000000000001,78.49,86.36000000000001,57.76,61.47999999999999,153.3,73.44999999999997,56.40000000000001,90.95,135.46,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,,109.5,,
Brazil,59.18,57.16000000000001,70.11999999999999,65.36000000000001,64.02,67.05999999999999,68.34000000000002,64.92,67.86,71.51,75.23999999999998,73.33,76.80000000000003,75.05,67.64999999999999,68.22999999999999,73.49000000000002,69.77,68.07000000000001,70.22,73.60000000000002,69.89999999999999,71.67999999999998,72.21000000000002,70.37,72.73,72.41000000000003,74.45000000000002,73.41000000000003,73.13000000000002,77.45,
Bulgaria,303.11999999999995,275.48,308.39999999999986,292.49000000000007,292.19,256.43,268.94,310.5999999999999,278.36000000000007,288.39,277.85,296.2000000000001,276.36,304.61,250.71,259.22,244.62,247.35,207.65,184.12,178.06,186.53,173.77,170.34,154.42,158.25000000000006,133.51999999999998,164.17,134.16000000000003,139.77,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,133.84,,,,,
Canada,166.46,190.11,179.32999999999996,175.38,170.98,165.01999999999995,167.78000000000003,163.6,164.01999999999995,161.91000000000003,163.52,162.89,151.43000000000004,150.12,158.44000000000003,139.00000000000003,137.43,137.73000000000002,137.27,131.66,133.84,126.43,127.45,127.59,130.66999999999996,132.67000000000002,125.02,127.87999999999998,133.09,,,
Chile,108.91000000000004,90.94,89.42,94.9,100.44,91.86,98.83000000000004,78.88,103.18000000000002,95.34,108.91,95.71,100.13,109.77,111.86,149.18000000000004,147.58,149.28,153.54,155.69,147.43,155.06,150.92000000000004,167.88,174.3,162.87999999999997,160.83999999999997,148.41000000000003,134.52,137.36999999999998,147.68,
